NAME,index,X,Y,X-scaled,Y-scaled,label,top_level_cell_type,sub_level_cell_type,dist_to_plaque,dist_to_tau
35371,5916,4585,12954,1375,3886,13months-disease-replicate_1,OPC,OPC,179.0,162
35372,5917,5674,12952,1702,3885,13months-disease-replicate_1,Oligo,Oligo1,90.0,156
35373,5918,10816,12955,3244,3886,13months-disease-replicate_1,CA1,CA1-Ex,,134
35374,5919,2933,12959,879,3887,13months-disease-replicate_1,Oligo,Oligo1,,
35375,5920,47,12954,14,3886,13months-disease-replicate_1,Oligo,Oligo2,,
35376,5921,995,12957,298,3887,13months-disease-replicate_1,Oligo,Oligo1,,
35377,5922,15330,12961,4599,3888,13months-disease-replicate_1,Oligo,Oligo3,115.0,205
35378,5923,16064,12967,4819,3890,13months-disease-replicate_1,Astro,Astro2,,112
35379,5924,19931,12969,5979,3890,13months-disease-replicate_1,CTX-Ex,CTX-Ex2,,
35380,5925,4863,12971,1458,3891,13months-disease-replicate_1,Oligo,Oligo2,151.0,178
35381,5926,8627,12959,2588,3887,13months-disease-replicate_1,CA1,CA1-Ex,39.0,158
35382,5927,9255,12978,2776,3893,13months-disease-replicate_1,CA1,CA1-Ex,,193
35383,5928,4134,12968,1240,3890,13months-disease-replicate_1,Oligo,Oligo1,194.0,162
35384,5929,20895,12962,6268,3888,13months-disease-replicate_1,Inh,Pvalb,,
35385,5930,815,12967,244,3890,13months-disease-replicate_1,Oligo,Oligo2,,
35386,5931,5323,12974,1596,3892,13months-disease-replicate_1,Oligo,Oligo1,152.0,161
35387,5932,19202,12970,5760,3891,13months-disease-replicate_1,Oligo,Oligo1,,
35388,5933,9483,12969,2844,3890,13months-disease-replicate_1,CA1,CA1-Ex,183.0,154
35389,5934,5812,12986,1743,3895,13months-disease-replicate_1,OPC,OPC,80.0,208
35390,5935,9729,12981,2918,3894,13months-disease-replicate_1,CA1,CA1-Ex,149.0,103
35392,5936,19080,12986,5724,3895,13months-disease-replicate_1,CTX-Ex,CTX-Ex4,,
35393,5937,20605,12991,6181,3897,13months-disease-replicate_1,CTX-Ex,CTX-Ex4,,
35394,5938,21999,12994,6599,3898,13months-disease-replicate_1,CTX-Ex,CTX-Ex2,,
35395,5939,10564,13003,3169,3900,13months-disease-replicate_1,CA1,CA1-Ex,,176
35396,5940,21354,12994,6406,3898,13months-disease-replicate_1,CTX-Ex,CTX-Ex4,,
35397,5941,8875,12994,2662,3898,13months-disease-replicate_1,Micro,Micro3,46.0,142
35398,5942,9370,13017,2811,3905,13months-disease-replicate_1,CA1,CA1-Ex,193.0,171
35399,5943,9149,13013,2744,3903,13months-disease-replicate_1,CA1,CA1-Ex,123.0,64
35400,5944,9594,13019,2878,3905,13months-disease-replicate_1,CA1,CA1-Ex,153.0,118
35401,5945,18967,13011,5690,3903,13months-disease-replicate_1,Oligo,Oligo1,,
35402,5946,9834,13005,2950,3901,13months-disease-replicate_1,CA1,CA1-Ex,139.0,175
35403,5947,10712,13022,3213,3906,13months-disease-replicate_1,CA1,CA1-Ex,,155
35404,5948,4313,13012,1293,3903,13months-disease-replicate_1,Astro,Astro3,212.0,152
35405,5949,10182,13021,3054,3906,13months-disease-replicate_1,Inh,Pvalb_Nog,169.0,160
35407,5950,3071,13034,921,3910,13months-disease-replicate_1,Astro,Astro2,,
35408,5951,10424,13028,3127,3908,13months-disease-replicate_1,CA1,CA1-Ex,,198
35409,5952,4987,13041,1496,3912,13months-disease-replicate_1,Astro,Astro3,157.0,150
35410,5953,20810,13049,6243,3914,13months-disease-replicate_1,CTX-Ex,CTX-Ex4,,
35411,5954,5231,13045,1569,3913,13months-disease-replicate_1,Oligo,Oligo1,177.0,150
35412,5955,4381,13051,1314,3915,13months-disease-replicate_1,Oligo,Oligo2,212.0,157
35413,5956,17507,13037,5252,3911,13months-disease-replicate_1,Oligo,Oligo3,,
35414,5957,3570,13050,1071,3915,13months-disease-replicate_1,Oligo,Oligo1,,195
35415,5958,6803,13061,2040,3918,13months-disease-replicate_1,Astro,Astro2,,101
35416,5959,17866,13054,5359,3916,13months-disease-replicate_1,Oligo,Oligo1,,
35417,5960,1941,13054,582,3916,13months-disease-replicate_1,Oligo,Oligo1,,161
35418,5961,2091,13051,627,3915,13months-disease-replicate_1,Oligo,Oligo1,,
35419,5962,7428,13043,2228,3912,13months-disease-replicate_1,Astro,Astro2,,165
35420,5963,18887,13055,5666,3916,13months-disease-replicate_1,CTX-Ex,CTX-Ex3,,
35421,5964,14784,13045,4435,3913,13months-disease-replicate_1,Oligo,Oligo1,161.0,165
35422,5965,10010,13066,3003,3919,13months-disease-replicate_1,CA1,CA1-Ex,159.0,152
35423,5966,1832,13067,549,3920,13months-disease-replicate_1,Astro,Astro3,,138
35424,5967,4677,13066,1403,3919,13months-disease-replicate_1,Oligo,Oligo1,171.0,150
35425,5968,21209,13068,6362,3920,13months-disease-replicate_1,Oligo,Oligo1,,
35426,5969,1703,13071,510,3921,13months-disease-replicate_1,Oligo,Oligo1,,121
35427,5970,13350,13087,4005,3926,13months-disease-replicate_1,Astro,Astro1,,188
35428,5971,20468,13083,6140,3924,13months-disease-replicate_1,CTX-Ex,CTX-Ex4,,
35429,5972,2011,13075,603,3922,13months-disease-replicate_1,Micro,Micro2,,172
35430,5973,17315,13065,5194,3919,13months-disease-replicate_1,Micro,Micro3,,
35431,5974,15242,13082,4572,3924,13months-disease-replicate_1,Micro,Micro3,76.0,186
35432,5975,4532,13100,1359,3930,13months-disease-replicate_1,Oligo,Oligo1,212.0,155
35433,5976,9879,13107,2963,3932,13months-disease-replicate_1,CA1,CA1-Ex,147.0,154
35434,5977,19991,13077,5997,3923,13months-disease-replicate_1,CTX-Ex,CTX-Ex4,,
35435,5978,4454,13104,1336,3931,13months-disease-replicate_1,Oligo,Oligo1,212.0,154
35436,5979,5043,13103,1512,3930,13months-disease-replicate_1,Oligo,Oligo1,203.0,178
35437,5980,17408,13109,5222,3932,13months-disease-replicate_1,Micro,Micro3,,
35438,5981,5105,13114,1531,3934,13months-disease-replicate_1,Oligo,Oligo1,161.0,190
35439,5982,6285,13121,1885,3936,13months-disease-replicate_1,Micro,Micro1,,167
35440,5983,17713,13117,5313,3935,13months-disease-replicate_1,Endo,Endo1,,
35441,5984,13648,13127,4094,3938,13months-disease-replicate_1,Micro,Micro1,,134
35442,5985,17136,13123,5140,3936,13months-disease-replicate_1,Micro,Micro2,,165
35443,5986,15495,13126,4648,3937,13months-disease-replicate_1,Oligo,Oligo1,99.0,144
35444,5987,18407,13139,5522,3941,13months-disease-replicate_1,CTX-Ex,CTX-Ex4,,
35446,5988,14862,13133,4458,3939,13months-disease-replicate_1,Oligo,Oligo1,128.0,150
35447,5989,4877,13138,1463,3941,13months-disease-replicate_1,Oligo,Oligo1,157.0,150
35448,5990,4600,13145,1380,3943,13months-disease-replicate_1,Oligo,Oligo2,200.0,150
35449,5991,4957,13136,1487,3940,13months-disease-replicate_1,Oligo,Oligo1,152.0,168
35450,5992,10755,13134,3226,3940,13months-disease-replicate_1,CA1,CA1-Ex,160.0,172
35451,5993,56,13148,16,3944,13months-disease-replicate_1,Micro,Micro2,,
35453,5994,17646,13143,5293,3942,13months-disease-replicate_1,SMC,S1,,
35454,5995,4789,13137,1436,3941,13months-disease-replicate_1,Astro,Astro3,169.0,150
35455,5996,2141,13137,642,3941,13months-disease-replicate_1,Oligo,Oligo1,,
35456,5997,17029,13166,5108,3949,13months-disease-replicate_1,Oligo,Oligo3,,136
35457,5998,4285,13157,1285,3947,13months-disease-replicate_1,Oligo,Oligo1,132.0,151
35458,5999,2059,13167,617,3950,13months-disease-replicate_1,OPC,OPC,,166
35459,6000,4683,13170,1404,3951,13months-disease-replicate_1,Oligo,Oligo2,178.0,155
35460,6001,21108,13179,6332,3953,13months-disease-replicate_1,Oligo,Oligo1,,
